Time_ms,I_mV
2469.9760,2.0693
2471.9776,2.2264
2473.9792,2.3607
2475.9808,2.4724
2477.9824,2.5818
2479.9840,2.7006
2481.9856,2.8090
2483.9872,2.8692
2485.9888,2.8808
2487.9904,2.8741
2489.9920,2.8794
2491.9936,2.8947
2493.9952,2.9053
2495.9968,2.9096
2497.9984,2.9096
2500.0000,2.9096
